,Species,Origin,,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers
1,Arabica,Ethiopia,,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,0,0
2,Arabica,Ethiopia,,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,0,0
3,Arabica,Guatemala,,,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,0,0
4,Arabica,Ethiopia,,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,0,0
5,Arabica,Ethiopia,,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,0,0
6,Arabica,Brazil,,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,0,0
7,Arabica,Peru,,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,0,0
8,Arabica,Ethiopia,,,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,0,0
9,Arabica,Ethiopia,,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,0,0
10,Arabica,Ethiopia,,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,0,0
11,Arabica,Ethiopia,,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,0,0
12,Arabica,United States,,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,0,0
13,Arabica,United States,,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,0,0
14,Arabica,United States (Hawaii),,,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0,0,0
15,Arabica,Ethiopia,,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05,0,0
16,Arabica,United States,,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,0,0
17,Arabica,Indonesia,,,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03,0,0
18,Arabica,Ethiopia,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05,0,0
19,Arabica,China,,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,0,0
20,Arabica,Ethiopia,,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,0,0
21,Arabica,United States,,Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,0,0
22,Arabica,Costa Rica,,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,0,0
23,Arabica,Mexico,,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,0,0
24,Arabica,United States,,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,0,0
25,Arabica,Ethiopia,,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,0,0
26,Arabica,Brazil,,Natural / Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,0,0
27,Arabica,Ethiopia,,,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05,0,0
