,검색 날짜,출발 날짜,항공사,출발시간,가격
0,20220208,20220209,진에어,18:15,"20,900"
1,20220208,20220209,제주항공,19:30,"19,191"
2,20220208,20220209,티웨이항공,19:05,"22,040"
3,20220208,20220209,에어부산,20:15,"20,320"
4,20220208,20220209,에어부산,19:05,"22,340"
5,20220208,20220209,티웨이항공,20:15,"20,775"
6,20220208,20220209,티웨이항공,17:55,"23,610"
7,20220208,20220209,진에어,19:05,"23,610"
8,20220208,20220209,제주항공,18:10,"23,740"
9,20220208,20220209,제주항공,19:20,"22,161"
10,20220208,20220209,에어부산,18:45,"23,740"
11,20220208,20220209,진에어,19:55,"22,161"
12,20220208,20220209,에어서울,19:25,"24,700"
13,20220208,20220209,에어서울,20:35,"22,953"
14,20220208,20220209,아시아나항공,20:25,"24,950"
15,20220208,20220209,진에어,21:35,"23,201"
16,20220208,20220209,진에어,19:15,"24,950"
17,20220208,20220209,티웨이항공,20:20,"23,201"
18,20220208,20220209,제주항공,19:30,"24,990"
19,20220208,20220209,제주항공,20:40,"25,700"
20,20220208,20220210,티웨이항공,18:45,"30,400"
21,20220208,20220210,진에어,19:55,"30,096"
22,20220208,20220210,제주항공,18:15,"31,400"
23,20220208,20220210,제주항공,19:30,"29,586"
24,20220208,20220210,제주항공,19:05,"31,740"
25,20220208,20220210,티웨이항공,20:15,"29,923"
26,20220208,20220210,티웨이항공,19:15,"31,740"
27,20220208,20220210,티웨이항공,20:20,"29,923"
28,20220208,20220210,에어부산,19:30,"31,740"
29,20220208,20220210,진에어,20:40,"29,923"
30,20220208,20220210,에어부산,17:45,"32,400"
31,20220208,20220210,에어부산,18:55,"32,076"
32,20220208,20220210,에어서울,19:05,"32,400"
33,20220208,20220210,에어서울,20:15,"32,076"
34,20220208,20220210,진에어,19:25,"32,400"
35,20220208,20220210,티웨이항공,20:35,"32,076"
36,20220208,20220210,티웨이항공,18:10,"33,270"
37,20220208,20220210,진에어,19:20,"33,300"
38,20220208,20220210,진에어,17:45,"31,467"
39,20220208,20220210,에어서울,19:00,"34,650"
40,20220208,20220211,에어서울,06:10,"38,900"
41,20220208,20220211,진에어,07:10,"37,530"
42,20220208,20220211,진에어,06:00,"42,800"
43,20220208,20220211,진에어,07:10,"40,872"
44,20220208,20220211,제주항공,06:05,"42,800"
45,20220208,20220211,진에어,07:15,"40,872"
46,20220208,20220211,티웨이항공,06:35,"42,800"
47,20220208,20220211,에어서울,07:45,"40,872"
48,20220208,20220211,에어서울,06:45,"43,380"
49,20220208,20220211,제주항공,07:55,"41,447"
50,20220208,20220211,제주항공,06:30,"44,700"
51,20220208,20220211,에어부산,07:45,"42,753"
52,20220208,20220211,티웨이항공,06:40,"45,400"
53,20220208,20220211,에어서울,07:50,"44,946"
54,20220208,20220211,제주항공,06:10,"46,900"
55,20220208,20220211,제주항공,07:10,"45,450"
56,20220208,20220211,진에어,07:00,"46,900"
57,20220208,20220211,진에어,08:10,"45,450"
58,20220208,20220211,에어서울,06:00,"47,260"
59,20220208,20220211,에어부산,07:05,"45,288"
60,20220208,20220212,진에어,20:30,"32,300"
61,20220208,20220212,진에어,21:45,"30,477"
62,20220208,20220212,진에어,20:20,"34,200"
63,20220208,20220212,에어서울,21:35,"32,358"
64,20220208,20220212,진에어,20:25,"34,200"
65,20220208,20220212,제주항공,21:35,"32,358"
66,20220208,20220212,티웨이항공,19:25,"34,900"
67,20220208,20220212,진에어,20:45,"33,570"
68,20220208,20220212,진에어,17:45,"35,200"
69,20220208,20220212,진에어,19:00,"33,348"
70,20220208,20220212,진에어,20:50,"35,620"
71,20220208,20220212,진에어,22:00,"33,764"
72,20220208,20220212,제주항공,18:45,"36,400"
